Label,Pairwise Deletion Sample Size for Observed Data,r Correlation,95% CI Lower Bound for r Correlation,95% CI Upper Bound for r Correlation,95% CI Width for r Correlation,d Correlation,d Correlation Minus |r| Correlation
BIS-11 Attentional with SOC Compensation,494,-.2699,-.3542,-.1832,.1710,.2575,-.0125
BIS-11 Attentional with SOC Elective Selection,511,-.3707,-.4411,-.2964,.1447,.3421,-.0286
BIS-11 Attentional with SOC Loss-Based Selection,457,-.1117,-.1997,-.0213,.1783,.1175,.0058
BIS-11 Attentional with SOC Optimization,493,-.4485,-.5215,-.3709,.1506,.4235,-.0250
BIS-11 Attentional with Short Self-Regulation Questionnaire,522,-.5768,-.6408,-.5097,.1311,.5519,-.0249
BIS-11 Attentional with SSS Boredom Susceptibility,508,.2317,.1379,.3213,.1834,.2275,-.0041
BIS-11 Attentional with SSS Disinhibition,512,.2011,.1126,.2894,.1768,.2043,.0032
BIS-11 Attentional with SSS Experience-Seeking,510,.1024,.0149,.1899,.1750,.1052,.0028
BIS-11 Attentional with SSS Thrill-Seeking,510,.1054,.0117,.1992,.1875,.1081,.0027
BIS-11 Attentional with TIPI Agreeableness,522,-.2830,-.3720,-.1919,.1802,.2810,-.0020
BIS-11 Attentional with TIPI Conscientiousness,522,-.4886,-.5626,-.4114,.1512,.4793,-.0094
BIS-11 Attentional with TIPI Emotional Stability,522,-.4843,-.5481,-.4166,.1314,.4633,-.0210
BIS-11 Attentional with TIPI Extraversion,522,-.1631,-.2442,-.0816,.1626,.1761,.0130
BIS-11 Attentional with TIPI Openness to Experience,522,-.0223,-.1137,.0682,.1818,.0776,.0552
BIS-11 Attentional with Theories of Willpower Scale,522,.3211,.2352,.4036,.1683,.3020,-.0191
BIS-11 Attentional with Zimbardo Time Perspective Inventory Past Negative,522,.4217,.3463,.4945,.1482,.3951,-.0266
BIS-11 Attentional with Zimbardo Time Perspective Inventory Past Positive,522,-.2890,-.3765,-.2023,.1742,.2813,-.0076
BIS-11 Attentional with Zimbardo Time Perspective Inventory Present Fatalistic,522,.3564,.2696,.4412,.1717,.3507,-.0056
BIS-11 Attentional with Zimbardo Time Perspective Inventory Present Hedonistic,522,.1866,.0999,.2701,.1702,.1905,.0039
BIS-11 Attentional with UPPS-P Lack of Perseverance,522,.5640,.4975,.6261,.1286,.5201,-.0438
BIS-11 Attentional with UPPS-P Lack of Premeditation,522,.3287,.2411,.4123,.1711,.2841,-.0447
BIS-11 Attentional with UPPS-P Negative Urgency,522,.5630,.4884,.6312,.1428,.5408,-.0222
BIS-11 Attentional with UPPS-P Positive Urgency,522,.4306,.3455,.5119,.1663,.4130,-.0176
BIS-11 Attentional with UPPS-P Sensation-Seeking,522,.1054,.0116,.1969,.1852,.1109,.0055
BIS-11 Attentional with Adaptive N-Back HDDM Drift,504,.0301,-.0600,.1179,.1780,.0706,.0405
BIS-11 Attentional with Adaptive N-Back HDDM Non-Decision,504,-.0038,-.0931,.0845,.1776,.0484,.0446
BIS-11 Attentional with Adaptive N-Back HDDM Threshold,504,-.0324,-.1179,.0529,.1708,.0711,.0387
BIS-11 Attentional with Adaptive N-Back Mean Load,504,.0326,-.0608,.1243,.1851,.0681,.0355
BIS-11 Attentional with Angling Risk Task Keep Adjusted Clicks,522,-.0653,-.1532,.0265,.1797,.0818,.0165
BIS-11 Attentional with Angling Risk Task Keep Loss Percent,522,-.0546,-.1356,.0283,.1639,.0739,.0193
BIS-11 Attentional with Angling Risk Task Keep Score,522,-.0483,-.1412,.0430,.1842,.0819,.0336
BIS-11 Attentional with Angling Risk Task Release Adjusted Clicks,522,-.0580,-.1367,.0223,.1590,.0983,.0402
BIS-11 Attentional with Angling Risk Task Release Loss Percent,522,-.0451,-.1262,.0371,.1633,.0713,.0262
BIS-11 Attentional with Angling Risk Task Release Score,522,-.0582,-.1413,.0267,.1680,.0929,.0347
BIS-11 Attentional with Attention Network Task Alerting HDDM Drift,198,.0398,-.0862,.1681,.2543,.1098,.0700
BIS-11 Attentional with Attention Network Task Conflict HDDM Drift,198,.0401,-.0827,.1875,.2702,.1289,.0888
BIS-11 Attentional with Attention Network Task HDDM Drift,198,.1042,-.0365,.2446,.2811,.1287,.0245
BIS-11 Attentional with Attention Network Task HDDM Non-Decision,198,-.0190,-.1776,.1302,.3078,.1200,.1010
BIS-11 Attentional with Attention Network Task HDDM Threshold,198,.0663,-.0761,.2067,.2828,.1438,.0775
BIS-11 Attentional with Attention Network Task Orienting HDDM Drift,198,-.0175,-.1603,.1264,.2867,.1336,.1161
BIS-11 Attentional with Bickel Titrator Discount Rate Large,522,-.0190,-.0664,.0385,.1050,.0471,.0281
BIS-11 Attentional with Bickel Titrator Discount Rate Medium,522,-.0716,-.1266,-.0116,.1149,.0826,.0110
BIS-11 Attentional with Bickel Titrator Discount Rate Small,522,.0139,-.0469,.0800,.1269,.0583,.0444
BIS-11 Attentional with Choice Reaction Time HDDM Drift,518,-.0680,-.1577,.0187,.1765,.1049,.0370
BIS-11 Attentional with Choice Reaction Time HDDM Non-Decision,518,-.0067,-.0778,.0640,.1418,.0807,.0740
BIS-11 Attentional with Choice Reaction Time HDDM Threshold,518,-.0729,-.1480,.0016,.1496,.1098,.0369
BIS-11 Attentional with Cognitive Reflection Task Correct Proportion,522,.0429,-.0475,.1295,.1770,.0596,.0168
BIS-11 Attentional with Cognitive Reflection Task Intuitive Proportion,522,-.0342,-.1172,.0512,.1684,.0668,.0326
BIS-11 Attentional with Columbia Card Task Cold Average Cards Chosen,522,-.0701,-.1504,.0117,.1620,.0865,.0164
BIS-11 Attentional with Columbia Card Task Cold Gain Sensitivity,522,.0799,-.0077,.1669,.1746,.1052,.0253
BIS-11 Attentional with Columbia Card Task Cold Information Use,522,.0554,-.0348,.1439,.1788,.1069,.0515
BIS-11 Attentional with Columbia Card Task Cold Loss Sensitivity,522,-.1004,-.1797,-.0197,.1600,.1317,.0312
BIS-11 Attentional with Columbia Card Task Cold Probability Sensitivity,522,.0556,-.0264,.1352,.1616,.0812,.0256
BIS-11 Attentional with Columbia Card Task Hot Average Cards Chosen,521,.0365,-.0448,.1198,.1646,.0678,.0314
BIS-11 Attentional with Columbia Card Task Hot Gain Sensitivity,521,.0593,-.0267,.1448,.1715,.1005,.0412
BIS-11 Attentional with Columbia Card Task Hot Information Use,521,.0328,-.0566,.1199,.1765,.0546,.0218
BIS-11 Attentional with Columbia Card Task Hot Loss Sensitivity,521,-.0977,-.1838,-.0124,.1714,.1025,.0048
BIS-11 Attentional with Columbia Card Task Hot Probability Sensitivity,521,.0572,-.0339,.1468,.1807,.0840,.0268
BIS-11 Attentional with Dietary Decision Task Health Sensitivity,522,-.0981,-.1714,-.0215,.1500,.1085,.0104
BIS-11 Attentional with Dietary Decision Task Taste Sensitivity,522,.0952,.0121,.1748,.1627,.0996,.0044
BIS-11 Attentional with Digit Span Forward Span,522,.0086,-.0795,.0973,.1768,.0606,.0520
BIS-11 Attentional with Digit Span Reverse Span,522,.0126,-.0662,.0901,.1563,.0715,.0588
BIS-11 Attentional with Directed Forgetting HDDM Drift,495,-.0285,-.1244,.0659,.1903,.0687,.0402
BIS-11 Attentional with Directed Forgetting HDDM Non-Decision,495,-.0316,-.1177,.0536,.1713,.0877,.0561
BIS-11 Attentional with Directed Forgetting HDDM Threshold,495,-.0322,-.1138,.0492,.1630,.0746,.0424
BIS-11 Attentional with Directed Forgetting Proactive Interference HDDM Drift,490,-.0087,-.0993,.0832,.1825,.0785,.0697
BIS-11 Attentional with Discount Titrator Percent Patient,522,-.0020,-.0878,.0874,.1752,.0493,.0473
BIS-11 Attentional with Dot Pattern Expectancy AY.BY HDDM Drift,501,-.0252,-.1091,.0593,.1684,.0661,.0410
BIS-11 Attentional with Dot Pattern Expectancy BX.BY HDDM Drift,501,.0001,-.0862,.0882,.1744,.0617,.0616
BIS-11 Attentional with Dot Pattern Expectancy Bias,498,-.0408,-.1209,.0405,.1615,.0804,.0396
BIS-11 Attentional with Dot Pattern Expectancy d',498,-.0392,-.1240,.0462,.1702,.0763,.0371
BIS-11 Attentional with Dot Pattern Expectancy HDDM Drift,504,-.0277,-.1171,.0593,.1764,.0804,.0526
BIS-11 Attentional with Dot Pattern Expectancy HDDM Non-Decision,504,-.0759,-.1623,.0094,.1717,.0946,.0187
BIS-11 Attentional with Dot Pattern Expectancy HDDM Threshold,504,-.0273,-.1093,.0577,.1671,.0654,.0381
BIS-11 Attentional with Go-No Go Bias,521,.0037,-.0892,.0951,.1843,.0820,.0783
BIS-11 Attentional with Go-No Go d',521,-.0289,-.1166,.0615,.1780,.0966,.0677
BIS-11 Attentional with Hierarchical Learning Task Score,515,-.0133,-.1051,.0796,.1847,.0837,.0704
BIS-11 Attentional with Holt & Laury Safe Choices,522,-.0510,-.1381,.0376,.1757,.0713,.0203
BIS-11 Attentional with Information Sampling Task Decreasing Win Probability Correct,514,.0035,-.0832,.0919,.1751,.0553,.0517
BIS-11 Attentional with Information Sampling Task Decreasing Win Motivation,503,.0865,-.0065,.1765,.1830,.0964,.0099
BIS-11 Attentional with Information Sampling Task Fixed Win Probability Correct,514,.0213,-.0725,.1140,.1864,.0654,.0441
BIS-11 Attentional with Information Sampling Task Fixed Win Motivation,510,.0627,-.0248,.1508,.1756,.0821,.0194
BIS-11 Attentional with Keep Track Task Score,514,-.0026,-.0848,.0829,.1677,.0645,.0619
BIS-11 Attentional with Kirby Discount Rate Large,522,-.0835,-.1600,-.0035,.1566,.0918,.0083
BIS-11 Attentional with Kirby Discount Rate Medium,522,-.0745,-.1510,.0071,.1581,.0861,.0116
BIS-11 Attentional with Kirby Discount Rate Small,522,-.0341,-.1146,.0495,.1641,.0539,.0198
BIS-11 Attentional with Local-Global Letter Task HDDM Drift of Conflict,194,-.1298,-.2736,.0143,.2879,.1467,.0168
BIS-11 Attentional with Local-Global Letter Task HDDM Drift,194,-.0106,-.1797,.1533,.3330,.1143,.1037
BIS-11 Attentional with Local-Global Letter Task HDDM Non-Decision,194,-.0455,-.2037,.1130,.3168,.1049,.0594
BIS-11 Attentional with Local-Global Letter Task HDDM Threshold,194,-.0580,-.1911,.0777,.2688,.1148,.0568
BIS-11 Attentional with Local-Global Letter Task HDDM Drift of Switch Cost,194,-.0187,-.1613,.1229,.2841,.1045,.0858
BIS-11 Attentional with Motor Selective Stop Signal Reaction Time,361,.0570,-.0431,.1582,.2013,.1166,.0596
BIS-11 Attentional with Motor Selective Stop Signal HDDM Drift,361,-.0805,-.1953,.0345,.2298,.1379,.0574
BIS-11 Attentional with Motor Selective Stop Signal HDDM Non-Decision,361,-.0862,-.1812,.0102,.1914,.1075,.0213
BIS-11 Attentional with Motor Selective Stop Signal HDDM Threshold,361,-.0330,-.1397,.0763,.2159,.0762,.0432
BIS-11 Attentional with Motor Selective Stop Signal Reactive Control,361,.0186,-.0740,.1153,.1893,.0918,.0732
BIS-11 Attentional with Motor Selective Stop Signal Proactive Control,361,-.0332,-.1434,.0824,.2258,.0903,.0572
BIS-11 Attentional with Probabilistic Selection Task Positive Learning Bias,369,-.0449,-.1419,.0483,.1902,.0871,.0422
BIS-11 Attentional with Probabilistic Selection Task Value Sensitivity,369,.0467,-.0458,.1415,.1873,.0919,.0452
BIS-11 Attentional with Psychological Refractory Period Slope,515,.0315,-.0571,.1208,.1780,.0720,.0406
BIS-11 Attentional with Raven Progressive Matrices,522,.0697,-.0193,.1555,.1747,.0868,.0170
BIS-11 Attentional with Shift Task Accuracy,512,.0485,-.0349,.1323,.1672,.0703,.0218
BIS-11 Attentional with Shift Task Learning Rate,512,.0905,.0014,.1754,.1740,.0944,.0039
BIS-11 Attentional with Simon Task HDDM Drift,519,-.0511,-.1313,.0284,.1597,.0973,.0462
BIS-11 Attentional with Simon Task HDDM Non-Decision,519,-.0359,-.1118,.0414,.1532,.0650,.0291
BIS-11 Attentional with Simon Task HDDM Threshold,519,-.0693,-.1485,.0115,.1600,.0917,.0224
BIS-11 Attentional with Simon Task HDDM Drift of Simon Effect,519,.0421,-.0445,.1251,.1696,.0707,.0287
BIS-11 Attentional with Simple Reaction Time Average Reaction Time,517,-.0484,-.1287,.0339,.1626,.0716,.0232
BIS-11 Attentional with Spatial Span Forward Span,522,.0517,-.0283,.1315,.1598,.0932,.0415
BIS-11 Attentional with Spatial Span Reverse Span,522,.0863,.0034,.1677,.1644,.0984,.0121
BIS-11 Attentional with Stimulus Selective Stop Signal Reaction Time,458,-.0015,-.0906,.0901,.1807,.0743,.0728
BIS-11 Attentional with Stimulus Selective Stop Signal HDDM Drift,458,-.0784,-.1682,.0112,.1794,.0996,.0211
BIS-11 Attentional with Stimulus Selective Stop Signal HDDM Non-Decision,458,-.0439,-.1438,.0502,.1941,.0973,.0534
BIS-11 Attentional with Stimulus Selective Stop Signal HDDM Threshold,458,-.0437,-.1427,.0607,.2034,.0736,.0298
BIS-11 Attentional with Stop Signal Reaction Time High,478,.0328,-.0526,.1221,.1746,.0706,.0378
BIS-11 Attentional with Stop Signal Reaction Time Low,478,.0182,-.0717,.1081,.1798,.0621,.0439
BIS-11 Attentional with Stop Signal HDDM Drift,478,-.0921,-.1869,.0075,.1944,.1119,.0198
BIS-11 Attentional with Stop Signal HDDM Non-Decision,478,-.0543,-.1427,.0320,.1747,.0836,.0293
BIS-11 Attentional with Stop Signal HDDM Threshold,478,-.0421,-.1367,.0563,.1930,.0900,.0479
BIS-11 Attentional with Stop Signal Proactive Reaction Time Speeding,478,-.0153,-.1011,.0683,.1695,.0746,.0593
BIS-11 Attentional with Stop Signal Proactive Reaction Time Slowing,478,-.0158,-.1106,.0795,.1901,.0680,.0522
BIS-11 Attentional with Stroop HDDM Drift,521,.0027,-.0990,.1020,.2010,.1019,.0992
BIS-11 Attentional with Stroop HDDM Non-Decision,521,-.0578,-.1341,.0210,.1551,.0918,.0340
BIS-11 Attentional with Stroop HDDM Threshold,521,.0340,-.0543,.1203,.1746,.0638,.0298
BIS-11 Attentional with Stroop HDDM Drift of Stroop Effect,521,.0314,-.0526,.1146,.1672,.0887,.0573
BIS-11 Attentional with Tower of London Average Move Time,521,-.1209,-.2072,-.0338,.1734,.1591,.0382
BIS-11 Attentional with Tower of London Number of Extra Moves,522,.0605,-.0271,.1482,.1753,.0828,.0223
BIS-11 Attentional with Tower of London Number of Optimal Solutions,522,.0532,-.0400,.1440,.1840,.0883,.0352
BIS-11 Attentional with Tower of London Planning Time,522,-.0215,-.1071,.0681,.1752,.0603,.0387
BIS-11 Attentional with Two-Stage Decision Model-Based,435,.0014,-.0863,.0901,.1763,.0627,.0613
BIS-11 Attentional with Two-Stage Decision Model-Free,435,-.0224,-.1100,.0625,.1726,.0954,.0730
BIS-11 Attentional with Two-Stage Decision Perseverance,435,.0200,-.0720,.1099,.1819,.0657,.0458
BIS-11 Attentional with Writing Task Neutral Probability,522,-.0434,-.1309,.0427,.1736,.0622,.0188
BIS-11 Attentional with Writing Task Positive Probability,522,-.1669,-.2467,-.0846,.1621,.1719,.0050
BIS-11 Attentional with Body Mass Index,518,.0647,-.0224,.1556,.1780,.1144,.0496
BIS-11 Attentional with K6 Nervous,522,.2758,.1803,.3683,.1880,.2933,.0175
BIS-11 Attentional with K6 Hopeless,522,.2697,.1740,.3627,.1886,.3015,.0318
BIS-11 Attentional with K6 Restless/Fidgety,522,.3735,.2859,.4587,.1728,.4056,.0321
BIS-11 Attentional with K6 Depressed,522,.2711,.1793,.3636,.1843,.2992,.0281
BIS-11 Attentional with K6 Everything an Effort,522,.3214,.2308,.4092,.1783,.3280,.0065
BIS-11 Attentional with K6 Worthless,522,.2864,.1919,.3796,.1877,.3243,.0379
BIS-11 Attentional with Cigarettes Per Day,522,-.0291,-.1136,.0573,.1709,.0528,.0237
BIS-11 Attentional with How Many Drinks When Drinking,522,.0776,-.0087,.1654,.1741,.0842,.0066
BIS-11 Attentional with How Often 6+ Drinks,522,.0897,.0022,.1779,.1757,.1195,.0298
BIS-11 Attentional with How Often Unable to Stop Drinking,522,.1008,.0056,.1977,.1920,.1104,.0095
BIS-11 Motor with BIS-11 Nonplanning,522,.5926,.5247,.6551,.1303,.5585,-.0341
BIS-11 Motor with BIS/BAS Drive,522,.0270,-.0622,.1170,.1792,.0932,.0662
BIS-11 Motor with BIS/BAS Fun-Seeking,522,.3923,.2925,.4816,.1891,.3675,-.0248
BIS-11 Motor with BIS/BAS Reward Responsiveness,522,.0059,-.0835,.0918,.1753,.0896,.0837
BIS-11 Motor with BIS/BAS BIS,522,.1383,.0516,.2205,.1689,.1485,.0102
BIS-11 Motor with Brief Self-Control Scale,522,-.5618,-.6342,-.4821,.1520,.5227,-.0391
BIS-11 Motor with Dickman's Dysfunctional Impulsivity,522,.5546,.4680,.6328,.1648,.5115,-.0431
BIS-11 Motor with Dickman's Functional Impulsivity,522,.1020,.0099,.1934,.1835,.1078,.0058
BIS-11 Motor with DOSPERT Expected Benefits Ethical,522,.1696,.0837,.2567,.1730,.1689,-.0007
BIS-11 Motor with DOSPERT Expected Benefits Financial,522,.1162,.0239,.2104,.1865,.1435,.0273
BIS-11 Motor with DOSPERT Expected Benefits Health/Safety,522,.2456,.1599,.3315,.1716,.2401,-.0055
BIS-11 Motor with DOSPERT Expected Benefits Recreational,522,.1826,.0895,.2738,.1843,.1838,.0012
BIS-11 Motor with DOSPERT Expected Benefits Social,522,.0919,.0048,.1791,.1743,.1180,.0261
BIS-11 Motor with DOSPERT Risk Perception Ethical,522,-.1022,-.1983,-.0081,.1902,.1196,.0174
BIS-11 Motor with DOSPERT Risk Perception Financial,522,-.1726,-.2679,-.0777,.1901,.1746,.0020
BIS-11 Motor with DOSPERT Risk Perception Health/Safety,522,-.1553,-.2511,-.0615,.1896,.1500,-.0053
BIS-11 Motor with DOSPERT Risk Perception Recreational,522,-.0978,-.1903,-.0041,.1862,.1091,.0113
BIS-11 Motor with DOSPERT Risk Perception Social,522,.0260,-.0753,.1283,.2036,.0722,.0462
BIS-11 Motor with DOSPERT Risk-Taking Ethical,522,.2291,.1343,.3264,.1921,.2352,.0060
BIS-11 Motor with DOSPERT Risk-Taking Financial,522,.1764,.0750,.2781,.2031,.1601,-.0163
BIS-11 Motor with DOSPERT Risk-Taking Health/Safety,522,.3119,.2141,.4074,.1933,.2976,-.0143
BIS-11 Motor with DOSPERT Risk-Taking Recreational,522,.1618,.0667,.2574,.1906,.1495,-.0122
BIS-11 Motor with DOSPERT Risk-Taking Social,522,.0765,-.0168,.1674,.1842,.1087,.0323
BIS-11 Motor with Three-Factor Eating Questionnaire Cognitive Restraint,522,-.0442,-.1305,.0388,.1693,.0753,.0311
BIS-11 Motor with Three-Factor Eating Questionnaire Emotional Eating,522,.2006,.1130,.2872,.1742,.1964,-.0041
BIS-11 Motor with Three-Factor Eating Questionnaire Uncontrolled Eating,522,.2504,.1642,.3364,.1722,.2583,.0079
BIS-11 Motor with Emotion Regulation Questionnaire Reappraisal,522,-.0932,-.1770,-.0099,.1671,.1058,.0127
BIS-11 Motor with Emotion Regulation Questionnaire Suppression,522,.0045,-.0828,.0933,.1760,.0790,.0746
BIS-11 Motor with FFMQ Acting with Awareness,522,-.4040,-.4844,-.3212,.1631,.4089,.0048
BIS-11 Motor with FFMQ Describing,522,-.1326,-.2140,-.0502,.1638,.1842,.0516
BIS-11 Motor with FFMQ Non-Judging of Experience,522,-.2092,-.2966,-.1169,.1797,.1894,-.0198
BIS-11 Motor with FFMQ Non-Reactivity to Experience,522,-.2200,-.3015,-.1403,.1612,.1944,-.0257
BIS-11 Motor with FFMQ Observing,522,-.0455,-.1289,.0361,.1650,.0884,.0429
BIS-11 Motor with Carstensen Future Time Perspective,522,-.0878,-.1683,-.0040,.1643,.0995,.0117
BIS-11 Motor with Grit Scale,522,-.4658,-.5346,-.3954,.1392,.4431,-.0227
BIS-11 Motor with Eysenck I-7 Impulsiveness,522,.6519,.5701,.7223,.1522,.6049,-.0470
BIS-11 Motor with Eysenck I-7 Venturesomeness,522,.2370,.1514,.3199,.1686,.2134,-.0236
BIS-11 Motor with Stanford Leisure Time Activities,522,-.1101,-.1887,-.0301,.1585,.1136,.0035
BIS-11 Motor with Mindful Attention and Awareness Scale,522,-.3873,-.4698,-.3025,.1674,.3768,-.0105
BIS-11 Motor with Multidimensional Personality Questionnaire Control,522,-.6186,-.6879,-.5391,.1487,.5542,-.0645
BIS-11 Motor with SOC Compensation,494,-.2746,-.3661,-.1800,.1861,.2847,.0100
BIS-11 Motor with SOC Elective Selection,511,-.3247,-.3976,-.2496,.1480,.2996,-.0251
BIS-11 Motor with SOC Loss-Based Selection,457,-.2286,-.3135,-.1388,.1747,.2090,-.0196
BIS-11 Motor with SOC Optimization,493,-.3735,-.4676,-.2753,.1923,.3550,-.0185
BIS-11 Motor with Short Self-Regulation Questionnaire,522,-.5005,-.5791,-.4142,.1649,.4584,-.0421
BIS-11 Motor with SSS Boredom Susceptibility,508,.2221,.1264,.3164,.1900,.2182,-.0039
BIS-11 Motor with SSS Disinhibition,512,.2678,.1813,.3524,.1711,.2565,-.0113
BIS-11 Motor with SSS Experience-Seeking,510,.1789,.0852,.2724,.1871,.1645,-.0144
BIS-11 Motor with SSS Thrill-Seeking,510,.1927,.1061,.2792,.1731,.1847,-.0080
BIS-11 Motor with TIPI Agreeableness,522,-.1788,-.2741,-.0854,.1887,.1837,.0049
BIS-11 Motor with TIPI Conscientiousness,522,-.4752,-.5591,-.3865,.1726,.4337,-.0415
BIS-11 Motor with TIPI Emotional Stability,522,-.1982,-.2850,-.1102,.1748,.1982,.0000
BIS-11 Motor with TIPI Extraversion,522,.0393,-.0524,.1316,.1840,.1067,.0674
BIS-11 Motor with TIPI Openness to Experience,522,.0518,-.0387,.1398,.1785,.0961,.0443
BIS-11 Motor with Theories of Willpower Scale,522,.2182,.1332,.3024,.1693,.2044,-.0137
BIS-11 Motor with Zimbardo Time Perspective Inventory Past Negative,522,.2374,.1570,.3134,.1563,.2122,-.0251
BIS-11 Motor with Zimbardo Time Perspective Inventory Past Positive,522,-.1598,-.2474,-.0754,.1720,.1877,.0279
BIS-11 Motor with Zimbardo Time Perspective Inventory Present Fatalistic,522,.3990,.3153,.4805,.1652,.3880,-.0109
BIS-11 Motor with Zimbardo Time Perspective Inventory Present Hedonistic,522,.4646,.3805,.5428,.1623,.4227,-.0418
BIS-11 Motor with UPPS-P Lack of Perseverance,522,.4964,.4271,.5647,.1376,.4612,-.0352
BIS-11 Motor with UPPS-P Lack of Premeditation,522,.6046,.5357,.6659,.1302,.5287,-.0759
BIS-11 Motor with UPPS-P Negative Urgency,522,.5665,.4826,.6413,.1587,.5320,-.0345
BIS-11 Motor with UPPS-P Positive Urgency,522,.5123,.4236,.5920,.1684,.4602,-.0521
BIS-11 Motor with UPPS-P Sensation-Seeking,522,.2446,.1473,.3375,.1902,.2241,-.0205
BIS-11 Motor with Adaptive N-Back HDDM Drift,504,-.0177,-.1022,.0731,.1753,.0722,.0545
BIS-11 Motor with Adaptive N-Back HDDM Non-Decision,504,-.0654,-.1576,.0256,.1832,.0975,.0321
